月份,全国_当月,全国_同比增长,全国_环比增长,全国_累计,城市,城市_同比增长,城市_环比增长,城市_累计,农村_当月,农村_同比增长,农村_环比增长,农村_累计
2023年10月份,99.8,-0.2%,-0.1%,100.4,99.9,-0.1%,-0.1%,100.4,99.5,-0.5%,-0.1%,100.2
2023年09月份,100,0.0%,0.2%,100.4,100.1,0.1%,0.2%,100.5,99.7,-0.3%,0.3%,100.3
2023年08月份,100.1,0.1%,0.3%,100.5,100.2,0.2%,0.2%,100.5,99.8,-0.2%,0.4%,100.3
2023年07月份,99.7,-0.3%,0.2%,100.5,99.8,-0.2%,0.3%,100.6,99.4,-0.6%,0.0%,100.4
2023年06月份,100,0.0%,-0.2%,100.7,100,0.0%,-0.2%,100.7,99.9,-0.1%,-0.2%,100.6
2023年05月份,100.2,0.2%,-0.2%,100.8,100.2,0.2%,-0.2%,100.8,100.1,0.1%,-0.2%,100.8
2023年04月份,100.1,0.1%,-0.1%,101,100.2,0.2%,-0.1%,101,100.1,0.1%,-0.2%,100.9
2023年03月份,100.7,0.7%,-0.3%,101.3,100.7,0.7%,-0.3%,101.3,100.6,0.6%,-0.3%,101.2
2023年02月份,101,1.0%,-0.5%,101.5,101,1.0%,-0.5%,101.6,101,1.0%,-0.5%,101.5
2023年01月份,102.1,2.1%,0.8%,102.1,102.1,2.1%,0.8%,102.1,102.1,2.1%,0.5%,102.1
2022年12月份,101.8,1.8%,0.0%,102,101.8,1.8%,0.0%,102,101.8,1.8%,-0.2%,102
2022年11月份,101.6,1.6%,-0.2%,102,101.5,1.5%,-0.2%,102,101.7,1.7%,-0.2%,102
2022年10月份,102.1,2.1%,0.1%,102,102,2.0%,0.0%,102,102.5,2.5%,0.1%,102
2022年09月份,102.8,2.8%,0.3%,102,102.7,2.7%,0.3%,102,103.1,3.1%,0.4%,102
2022年08月份,102.5,2.5%,-0.1%,101.9,102.4,2.4%,-0.1%,101.9,102.7,2.7%,-0.1%,101.8
2022年07月份,102.7,2.7%,0.5%,101.8,102.6,2.6%,0.4%,101.9,103,3.0%,0.5%,101.7
2022年06月份,102.5,2.5%,0.0%,101.7,102.5,2.5%,0.0%,101.7,102.6,2.6%,0.0%,101.5
2022年05月份,102.1,2.1%,-0.2%,101.5,102.1,2.1%,-0.2%,101.6,102.1,2.1%,-0.1%,101.2
2022年04月份,102.1,2.1%,0.4%,101.4,102.2,2.2%,0.4%,101.5,102,2.0%,0.3%,101
2022年03月份,101.5,1.5%,0.0%,101.1,101.6,1.6%,0.0%,101.2,101.2,1.2%,0.0%,100.7
2022年02月份,100.9,0.9%,0.6%,100.9,101,1.0%,0.6%,101.1,100.5,0.5%,0.6%,100.5
2022年01月份,100.9,0.9%,0.4%,100.9,101.1,1.1%,0.5%,101.1,100.4,0.4%,0.3%,100.4
2021年12月份,101.5,1.5%,-0.3%,100.9,101.6,1.6%,-0.3%,101,101.2,1.2%,-0.3%,100.7
2021年11月份,102.3,2.3%,0.4%,100.9,102.4,2.4%,0.3%,100.9,102.2,2.2%,0.6%,100.6
2021年10月份,101.5,1.5%,0.7%,100.7,101.6,1.6%,0.7%,100.8,101.2,1.2%,0.7%,100.5
2021年09月份,100.7,0.7%,0.0%,100.6,100.8,0.8%,0.0%,100.7,100.2,0.2%,0.1%,100.4
